Buurtcode,score,thema,methode,thema_kort
BU00806102,0.5589416439739251,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008062,0.12228738778655093,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806201,0.1286940972475885,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806202,0.1011438470646917,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806203,0.12351756158527856,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806204,0.09329235042125306,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806205,0.1877948203717027,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806206,0.10987846910362772,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806207,0.18044779115159196,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806208,0.09877575369273493,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806209,0.12580029001923798,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806210,0.13102821850415908,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008063,0.1686314376944903,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806301,0.17128978042824156,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806302,0.12496812549227124,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806303,0.10799411674440694,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806304,0.14069419828454607,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806305,0.16223610886339376,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806306,0.13810414791209744,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00806307,0.11986938007435818,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008070,0.2791853732697756,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00807001,0.13679710262108463,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00807002,0.31721627719336887,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00807003,0.5194022120801834,Woningmarkt_Eigendom,entropy,Woningmarkt
BU00807004,0.21240881989091906,Woningmarkt_Eigendom,entropy,Woningmarkt
WK008071,0.08097088832327798,Woningmarkt_Eigendom,entropy,Woningmarkt
